item_name,latest_price,lifetime_price_%_change,30d_price_%_change,lifetime_volume,30d_volume_metric,lifetime_market_cap,30d_market_cap,lifetime_average_price,last_30d_average_price
'Blueberries' Buckshot | NSWC SEAL,9.4,390.0,2.43,208225,1506,453948.0,13782.0,5.18,9.28
'Medium Rare' Crasswater | Guerrilla Warfare,19.8,70.0,1.26,91558,1087,711291.0,21914.0,12.78,20.37
'The Doctor' Romanov | Sabre,10.4,29.0,15.84,842251,6526,3266479.0,65131.0,5.7,10.15
'Two Times' McCoy | TACP Cavalry,5.4,527.0,2.65,514820,3582,641458.0,19182.0,2.94,5.38
'Two Times' McCoy | USAF TACP,5.2,34.0,-0.12,892392,4811,1200702.0,24839.0,2.64,5.18
10 Year Birthday Sticker Capsule,0.8,1.0,-2.7,565598,4557,449626.0,3384.0,0.77,0.76
1st Lieutenant Farlow | SWAT,6.2,170.0,-9.4,386769,3055,841445.0,19711.0,4.0,6.51
2020 RMR Challengers,0.2,-80.0,-7.56,8463624,45299,2119915.0,7078.0,0.2,0.16
2020 RMR Contenders,0.2,-73.0,-5.65,10221146,36114,2693620.0,7392.0,0.23,0.22
2020 RMR Legends,0.2,-81.0,-6.13,27909059,53891,7411543.0,7749.0,0.2,0.15
2021 Community Sticker Capsule,0.8,7.0,10.84,132406,460,106937.0,371.0,0.81,0.82
3rd Commando Company | KSK,8.4,40.0,-11.06,650266,4318,1935491.0,39582.0,4.98,9.24
AK-47 | Aquamarine Revenge (Battle-Scarred),15.9,-37.0,-6.67,236197,862,2549426.0,14164.0,12.25,16.39
AK-47 | Aquamarine Revenge (Factory New),115.1,-1.0,9.12,64347,96,2549848.0,10416.0,50.4,108.36
AK-47 | Aquamarine Revenge (Field-Tested),35.3,-26.0,1.19,468844,836,8028328.0,31238.0,21.87,37.53
AK-47 | Aquamarine Revenge (Minimal Wear),71.5,5.0,-0.05,200928,340,5137058.0,23967.0,33.86,70.6
AK-47 | Aquamarine Revenge (Well-Worn),18.6,-47.0,-15.82,269943,739,3709467.0,15185.0,15.45,20.74
AK-47 | Asiimov (Battle-Scarred),21.0,-62.0,7.22,128367,1343,2403345.0,26710.0,19.74,20.02
AK-47 | Asiimov (Factory New),181.7,-54.0,-5.31,8394,49,1193362.0,9097.0,146.96,185.82
AK-47 | Asiimov (Field-Tested),30.0,-70.0,3.72,450095,4172,11417320.0,124195.0,27.31,29.85
AK-47 | Asiimov (Minimal Wear),59.8,-64.0,-3.57,168560,1332,7091114.0,82196.0,47.48,61.69
AK-47 | Asiimov (Well-Worn),27.9,-62.0,0.1,44914,454,1139536.0,13111.0,26.91,28.95
AK-47 | Baroque Purple (Battle-Scarred),5.8,545.0,0.34,147457,206,245205.0,1206.0,2.95,5.85
AK-47 | Baroque Purple (Factory New),14.6,89.0,-15.16,38491,230,319839.0,3632.0,10.14,15.95
AK-47 | Baroque Purple (Field-Tested),5.8,435.0,-11.5,428066,485,776904.0,2941.0,3.36,6.07
AK-47 | Baroque Purple (Minimal Wear),7.1,108.0,9.89,205552,568,604299.0,3880.0,4.29,6.85
AK-47 | Baroque Purple (Well-Worn),5.7,474.0,-5.19,252836,205,414642.0,1176.0,2.94,5.72
AK-47 | Black Laminate (Battle-Scarred),28.8,64.0,19.37,36437,31,248665.0,758.0,12.7,24.47
AK-47 | Black Laminate (Factory New),131.5,584.0,3.21,1623,4,126746.0,513.0,81.8,128.16
AK-47 | Black Laminate (Field-Tested),25.9,68.0,4.75,193041,152,1232599.0,3796.0,13.17,24.93
AK-47 | Black Laminate (Minimal Wear),34.6,122.0,8.12,146775,74,1098220.0,2545.0,15.78,34.36
AK-47 | Black Laminate (Well-Worn),22.3,157.0,-6.54,25489,20,177558.0,516.0,12.13,24.98
AK-47 | Bloodsport (Factory New),144.2,2.0,7.92,103213,304,6117517.0,42086.0,70.96,138.44
AK-47 | Bloodsport (Field-Tested),119.8,41.0,17.58,176452,402,7443616.0,44884.0,53.11,111.64
AK-47 | Bloodsport (Minimal Wear),124.5,12.0,2.24,132384,387,6544514.0,46415.0,59.36,119.86
AK-47 | Bloodsport (Well-Worn),111.5,62.0,5.32,29522,92,1260817.0,9653.0,46.85,104.86
AK-47 | Blue Laminate (Factory New),12.6,-25.0,1.34,1392383,837,3677574.0,12203.0,6.69,14.93
AK-47 | Blue Laminate (Field-Tested),10.3,2.0,-58.68,1808643,1345,3874942.0,14157.0,5.09,11.16
AK-47 | Blue Laminate (Minimal Wear),10.5,-8.0,2.39,2020990,1022,4232852.0,12235.0,5.59,12.94
AK-47 | Blue Laminate (Well-Worn),11.1,9.0,-11.37,64397,85,236579.0,1084.0,6.64,12.75
AK-47 | Cartel (Battle-Scarred),9.7,-40.0,-6.18,225032,457,679019.0,4495.0,4.71,9.93
AK-47 | Cartel (Factory New),24.6,-38.0,-11.83,244645,389,1520344.0,10186.0,11.22,26.2
AK-47 | Cartel (Field-Tested),9.4,-52.0,0.33,1578765,2184,4130765.0,21157.0,4.92,9.81
AK-47 | Cartel (Minimal Wear),12.5,-52.0,-4.26,996370,1208,3011557.0,15916.0,6.33,13.27
AK-47 | Cartel (Well-Worn),13.9,-5.0,-13.71,71843,131,297861.0,1902.0,6.15,14.49
AK-47 | Case Hardened (Battle-Scarred),177.8,1196.0,-6.94,100585,45,2052427.0,7865.0,50.98,174.56
AK-47 | Case Hardened (Factory New),339.2,1305.0,-2.5,48864,34,2721957.0,12462.0,120.44,368.53
AK-47 | Case Hardened (Field-Tested),224.4,1317.0,1.94,249019,75,5875390.0,17868.0,73.8,237.47
AK-47 | Case Hardened (Minimal Wear),292.5,1429.0,14.55,203025,65,5872114.0,18487.0,88.4,284.77
AK-47 | Case Hardened (Well-Worn),185.5,1349.0,9.55,143131,58,3071489.0,10689.0,58.56,184.42
AK-47 | Elite Build (Battle-Scarred),1.0,-71.0,-3.32,2879643,8971,1770356.0,8961.0,0.82,1.0
AK-47 | Elite Build (Factory New),5.3,-77.0,4.92,562357,1226,1627110.0,6324.0,4.04,5.19
AK-47 | Elite Build (Field-Tested),1.3,-82.0,-3.5,6782803,16688,5508585.0,22440.0,1.13,1.35
AK-47 | Elite Build (Minimal Wear),2.0,-82.0,-4.27,4842706,9120,5509032.0,19283.0,1.67,2.12
AK-47 | Elite Build (Well-Worn),1.0,-81.0,5.45,5112188,15485,3503668.0,16031.0,0.88,1.04
AK-47 | Emerald Pinstripe (Battle-Scarred),2.3,-89.0,8.1,677103,4498,1191555.0,11085.0,2.24,2.39
AK-47 | Emerald Pinstripe (Factory New),7.0,-94.0,-19.54,240282,1893,1177737.0,17324.0,7.27,8.71
AK-47 | Emerald Pinstripe (Field-Tested),2.4,-90.0,-5.06,1647241,9452,2850488.0,27654.0,2.62,2.81
AK-47 | Emerald Pinstripe (Minimal Wear),3.9,-86.0,-4.95,905113,4886,2276698.0,21819.0,3.89,4.39
AK-47 | Emerald Pinstripe (Well-Worn),2.2,-90.0,5.52,934834,5189,1610536.0,13615.0,2.32,2.46
AK-47 | Fire Serpent (Battle-Scarred),529.4,1338.0,7.64,16476,10,1405969.0,5081.0,159.72,508.06
AK-47 | Fire Serpent (Factory New),509.7,728.0,0.0,427,1,195280.0,510.0,477.51,509.71
AK-47 | Fire Serpent (Field-Tested),792.7,890.0,3.12,54417,15,6664344.0,11916.0,298.41,794.43
AK-47 | Fire Serpent (Minimal Wear),1142.9,2344.0,-0.69,18397,3,3301576.0,3440.0,347.39,1146.52
AK-47 | Fire Serpent (Well-Worn),615.8,1317.0,0.0,3114,1,359258.0,616.0,153.97,615.81
AK-47 | First Class (Battle-Scarred),63.8,1087.0,0.58,14705,13,97928.0,853.0,15.47,66.24
AK-47 | First Class (Factory New),154.0,746.0,5.23,9563,5,189844.0,816.0,34.03,163.19
AK-47 | First Class (Field-Tested),69.3,1114.0,-5.62,46374,12,267332.0,869.0,19.03,72.41
AK-47 | First Class (Minimal Wear),91.7,807.0,1.82,23280,5,192563.0,519.0,22.56,103.88
AK-47 | First Class (Well-Worn),69.3,1194.0,8.06,22616,13,141618.0,900.0,16.43,69.26
AK-47 | Frontside Misty (Battle-Scarred),8.9,-58.0,10.71,333875,1540,2284770.0,12664.0,7.82,8.22
AK-47 | Frontside Misty (Factory New),82.4,-31.0,5.02,47623,122,1414574.0,9389.0,36.03,76.74
AK-47 | Frontside Misty (Field-Tested),11.9,-77.0,0.09,1443564,4623,13978610.0,55074.0,10.87,12.07
AK-47 | Frontside Misty (Minimal Wear),26.2,-64.0,-2.82,435909,1095,6274995.0,29976.0,18.14,27.48
AK-47 | Frontside Misty (Well-Worn),11.4,-68.0,1.17,266163,1039,2489583.0,11243.0,10.21,10.85
