date,price_usd,volume
2013-04-26,2.528,22.0
2013-04-27,2.713,49.0
2013-04-28,2.77,37.0
2013-04-29,2.375,54.0
2013-04-30,2.331,35.0
2013-05-01,2.417,19.0
2013-05-02,2.43,37.0
2013-05-03,2.478,20.0
2013-05-04,2.419,32.0
2013-05-05,2.283,21.0
2013-05-06,2.415,16.0
2013-05-07,2.979,28.0
2013-05-08,3.3,8.0
2013-05-09,3.046,21.0
2013-05-10,2.824,15.0
2013-05-11,3.356,22.0
2013-05-12,3.397,22.0
2013-05-13,3.433,19.0
2013-05-14,3.324,16.0
2013-05-15,3.232,9.0
2013-05-16,3.514,51.0
2013-05-17,2.51,103.0
2013-05-18,2.409,120.0
2013-05-19,2.378,109.0
2013-05-20,2.397,125.0
2013-05-21,2.425,88.0
2013-05-22,2.452,72.0
2013-05-23,3.107,58.0
2013-05-24,3.281,44.0
2013-05-25,3.399,56.0
2013-05-26,3.802,40.0
2013-05-27,3.863,29.0
2013-05-28,4.111,32.0
2013-05-29,4.21,20.0
2013-05-30,4.415,29.0
2013-05-31,4.436,18.0
2013-06-01,4.233,25.0
2013-06-02,4.402,20.0
2013-06-03,3.796,17.0
2013-06-04,4.053,17.0
2013-06-05,4.235,8.0
2013-06-06,4.284,18.0
2013-06-07,4.069,18.0
2013-06-08,3.998,30.0
2013-06-09,4.164,22.0
2013-06-10,3.827,13.0
2013-06-11,4.06,18.0
2013-06-12,3.764,15.0
2013-06-13,0.797,1548.0
2013-06-14,0.682,1176.0
2013-06-15,0.685,825.0
2013-06-16,0.702,658.0
2013-06-17,0.846,513.0
2013-06-18,1.327,181.0
2013-06-19,1.216,138.0
2013-06-20,1.257,118.0
2013-06-21,1.13,112.0
2013-06-22,1.225,106.0
2013-06-23,1.194,100.0
2013-06-24,1.161,110.0
2013-06-25,1.155,115.0
2013-06-26,1.165,126.0
2013-06-27,1.226,208.0
2013-06-28,1.427,136.0
2013-06-29,1.66,119.0
2013-06-30,1.746,76.0
2013-07-01,1.771,60.0
2013-07-02,1.763,95.0
2013-07-03,1.76,74.0
2013-07-04,1.627,84.0
2013-07-05,1.539,67.0
2013-07-06,1.563,85.0
2013-07-07,1.567,75.0
2013-07-08,1.574,89.0
2013-07-09,1.578,79.0
2013-07-10,1.559,65.0
2013-07-11,1.348,158.0
2013-07-12,0.724,589.0
2013-07-13,0.654,606.0
2013-07-14,0.648,484.0
2013-07-15,0.649,360.0
2013-07-16,0.619,463.0
2013-07-17,0.61,424.0
2013-07-18,0.593,368.0
2013-07-19,0.618,577.0
2013-07-20,0.639,466.0
2013-07-21,0.658,595.0
2013-07-22,0.65,702.0
2013-07-23,0.608,457.0
2013-07-24,0.604,400.0
2013-07-25,0.604,369.0
2013-07-26,0.611,404.0
2013-07-27,0.594,312.0
2013-07-28,0.614,355.0
2013-07-29,0.598,333.0
2013-07-30,0.597,339.0
2013-07-31,0.601,341.0
2013-08-01,0.605,301.0
2013-08-02,0.613,259.0
2013-08-03,0.598,285.0
2013-08-04,0.589,243.0
2013-08-05,0.589,265.0
2013-08-06,0.59,251.0
2013-08-07,0.592,237.0
2013-08-08,0.587,241.0
2013-08-09,0.59,221.0
2013-08-10,0.588,201.0
2013-08-11,0.591,217.0
2013-08-12,0.585,234.0
2013-08-13,5.888,356.0
2013-08-14,338.035,2269.0
2013-08-15,2129.293,22983.0
2013-08-16,2616.340000000001,48271.0
2013-08-17,3698.976000000001,57325.0
2013-08-18,4331.394999999999,60725.0
2013-08-19,3800.18,53773.0
